Word_Count,Word,index,X1,Y1,X2,Y2
276,Usage,553,2941,1604,2941,1476
277,4029130,555,3067,1653,3065,1476
278,3072.00,557,3061,928,3062,767
279,430.89,559,3061,211,3063,78
280,Internet,561,3081,2857,3082,2702
281,Usage,563,3079,2693,3079,2575
282,Data,565,3144,2862,3143,2792
283,Conversion,567,3144,2784,3142,2623
284,:,569,3148,2622,3148,2609
285,1,571,3142,2599,3142,2584
286,MB,573,3142,2577,3141,2530
287,=,575,3148,2520,3148,2501
288,"1,024",577,3140,2492,3139,2410
289,KB,579,3140,2402,3140,2361
290,1,581,3136,2358,3136,2345
291,1,583,3138,2337,3138,2324
292,GBE,585,3138,2313,3137,2241
293,"1,024",587,3136,2234,3135,2150
294,MB,589,3136,2142,3135,2095
295,4029130,591,3207,1655,3207,1472
296,3072.00,593,3205,924,3207,761
297,430.89,595,3199,201,3205,66
298,State,597,3416,2880,3416,2780
299,GST,599,3416,2768,3416,2690
300,@,601,3416,2683,3416,2648
301,9.00,603,3416,2626,3416,2540
302,%,605,3416,2541,3416,2506
303,Central,607,3487,2884,3487,2745
304,GST,609,3485,2734,3485,2656
305,@,611,3485,2646,3485,2613
306,9.00,613,3485,2589,3485,2505
307,%,615,3485,2506,3485,2473
308,167.92,617,3554,174,3554,39
309,No,619,3654,2892,3654,2855
310,Tax,621,3652,2847,3652,2804
311,is,623,3658,2797,3658,2778
312,payable,625,3652,2770,3652,2668
313,on,627,3656,2660,3656,2627
314,Reverse,629,3650,2618,3650,2516
315,Charge,631,3650,2508,3650,2416
